表serial,电表地址,网关serial,总线(ch),电量(kWh)
S1-F10-DB01-1001,1,NS-S1-F11-DBWG04,1,787.98
S1-F10-DB01-1002,2,NS-S1-F11-DBWG04,1,440.06
S1-F10-DB01-1003,3,NS-S1-F11-DBWG04,1,625.19
S1-F10-DB01-1004,4,NS-S1-F11-DBWG04,1,1059.95
S1-F10-DB01-1005,5,NS-S1-F11-DBWG04,1,911.13
S1-F10-DB01-1006,6,NS-S1-F11-DBWG04,1,859.42
S1-F10-DB01-1007,7,NS-S1-F11-DBWG04,1,587.86
S1-F10-DB01-1008,8,NS-S1-F11-DBWG04,1,962.19
S1-F10-DB01-1009,9,NS-S1-F11-DBWG04,1,1190.9
S1-F10-DB01-1010,10,NS-S1-F11-DBWG04,1,969.66
S1-F10-DB01-1011,11,NS-S1-F11-DBWG04,1,1044.3
S1-F10-DB01-1012,12,NS-S1-F11-DBWG04,1,997.02
S1-F10-DB02-1013,13,NS-S1-F11-DBWG04,1,930.79
S1-F10-DB02-1014,14,NS-S1-F11-DBWG04,1,1092.46
S1-F10-DB02-1015,15,NS-S1-F11-DBWG04,1,1158.3
S1-F10-DB02-1016,16,NS-S1-F11-DBWG04,1,1286.79
S1-F10-DB02-1017,17,NS-S1-F11-DBWG04,1,958.73
S1-F10-DB02-1018,18,NS-S1-F11-DBWG04,1,760.94
S1-F10-DB02-1019,19,NS-S1-F11-DBWG04,1,704.67
S1-F10-DB02-1020,20,NS-S1-F11-DBWG04,1,980.71
S1-F10-DB02-1021,21,NS-S1-F11-DBWG04,1,619.77
S1-F10-DB02-1022,22,NS-S1-F11-DBWG04,1,515
S1-F10-DB02-1023,23,NS-S1-F11-DBWG04,1,658.01
S1-F10-DB02-1024,24,NS-S1-F11-DBWG04,1,1524.29
S1-F10-DB03-1025,25,NS-S1-F11-DBWG04,1,307.94
S1-F10-DB03-1026,26,NS-S1-F11-DBWG04,1,924.34
S1-F10-DB03-1027,27,NS-S1-F11-DBWG04,1,1479.26
S1-F10-DB03-1028,28,NS-S1-F11-DBWG04,1,497.23
S1-F10-DB03-1029,29,NS-S1-F11-DBWG04,1,650.01
S1-F10-DB03-1030,30,NS-S1-F11-DBWG04,1,626.69
S1-F10-DB03-1031,31,NS-S1-F11-DBWG04,1,999.31
S1-F11-DB01-1101,1,NS-S1-F11-DBWG04,2,1181.59
S1-F11-DB01-1102,2,NS-S1-F11-DBWG04,2,1141.67
S1-F11-DB01-1103,3,NS-S1-F11-DBWG04,2,1268.2
S1-F11-DB01-1104,4,NS-S1-F11-DBWG04,2,1397.5
S1-F11-DB01-1105,5,NS-S1-F11-DBWG04,2,1386.52
S1-F11-DB01-1106,6,NS-S1-F11-DBWG04,2,1750.33
S1-F11-DB01-1107,7,NS-S1-F11-DBWG04,2,1165.17
S1-F11-DB01-1108,8,NS-S1-F11-DBWG04,2,877.7
S1-F11-DB01-1109,9,NS-S1-F11-DBWG04,2,1789.5
S1-F11-DB01-1110,10,NS-S1-F11-DBWG04,2,1101.79
S1-F11-DB01-1111,11,NS-S1-F11-DBWG04,2,2232.81
S1-F11-DB01-1112,12,NS-S1-F11-DBWG04,2,1485.87
S1-F11-DB02-1113,13,NS-S1-F11-DBWG04,2,1917.66
S1-F11-DB02-1114,14,NS-S1-F11-DBWG04,2,494.34
